Arquivo,Categoria,Razão,Observação,Risco
app/__init__.py,PRESERVAR,Inicializa pacote core,Crítico para imports,Nenhum
app/action_audit_log.py,PRESERVAR,Auditoria de ações V-COF,Governança essencial,Nenhum
app/action_contracts.py,PRESERVAR,Contratos V-COF,Governança essencial,Nenhum
app/action_matrix.py,PRESERVAR,Matriz de ações,Governança essencial,Nenhum
app/action_registry.py,PRESERVAR,Registro de ações,Governança essencial,Nenhum
app/action_router.py,PRESERVAR,Roteador de ações,Governança essencial,Nenhum
app/agentic_pipeline.py,PRESERVAR,Pipeline agentic V-COF,Funcionamento crítico,Nenhum
app/api/admin.py,PRESERVAR,Admin API routes,API ativa (/describe),Nenhum
app/audit_log.py,PRESERVAR,Log de auditoria,Governança essencial,Nenhum
app/audit_sink.py,PRESERVAR,Sink de auditoria,Governança essencial,Nenhum
app/auth.py,PRESERVAR,Autenticação,Segurança crítica,Nenhum
app/contracts/__init__.py,PRESERVAR,Inicializa contratos,Parte de governance,Nenhum
app/contracts/canonical_v1.py,PRESERVAR,Contratos canônicos,Governance v1,Nenhum
app/contracts/field_governance.py,PRESERVAR,Governança de campos,V-COF essencial,Nenhum
app/contracts/gate_v1.py,PRESERVAR,Gate contracts v1,Governança essencial,Nenhum
app/contracts/normalize.py,PRESERVAR,Normalização V-COF,Governance essencial,Nenhum
app/contracts/schema_export.py,PRESERVAR,Export de schema,Governance essencial,Nenhum
app/db/__init__.py,PRESERVAR,Inicializa DB,Crítico para database,Nenhum
app/db/database.py,VERIFICAR,Tem variável não utilizada (vulture),connection_record:22 não usado,Baixo - pode ser falso positivo
app/db/session_repository.py,VERIFICAR,Tem import não utilizado (vulture),IntegrityError:6 não usado,Baixo - pode ser necessário
app/decision_record.py,PRESERVAR,Decision record logging,Auditoria essencial,Nenhum
app/digests.py,PRESERVAR,Digests e hashes,Criptografia essencial,Nenhum
app/error_envelope.py,PRESERVAR,Envelope de erros,Tratamento de erros,Nenhum
app/error_handler.py,PRESERVAR,Handler de erros,Tratamento crítico,Nenhum
app/executors/__init__.py,PRESERVAR,Inicializa executores,Parte de execution,Nenhum
app/executors/_executor_template.py,PRESERVAR,Template de executor,Padrão de código,Nenhum
app/executors/base.py,PRESERVAR,Base executor,Classe base essencial,Nenhum
app/executors/composite_executor_v1.py,PRESERVAR,Composite executor,Padrão agentic,Nenhum
app/executors/llm_executor_v1.py,PRESERVAR,LLM executor,Rota /execute crítica,Nenhum
app/executors/noop_executor_v1.py,PRESERVAR,NoOp executor,Padrão seguro,Nenhum
app/executors/registry.py,PRESERVAR,Registro de executores,Descoberta de executores,Nenhum
app/executors/rule_evaluator_v1.py,PRESERVAR,Rule evaluator,Avaliação de regras,Nenhum
app/f23_bindings.py,PRESERVAR,F2.3 bindings,Design System F2.3,Nenhum
app/gate_artifacts.py,PRESERVAR,Gate artifacts,Governance essencial,Nenhum
app/gate_engine.py,PRESERVAR,Gate engine,Governança V-COF,Nenhum
app/gate_profiles.py,PRESERVAR,Gate profiles,Configuração de gates,Nenhum
app/gates/admin_rate_limit.py,PRESERVAR,Rate limit gate,Segurança essencial,Nenhum
app/gates/gate_f23_sessions_db.py,PRESERVAR,F2.3 sessions DB gate,F2.3 Design System,Nenhum
app/gates_f21.py,VERIFICAR,Tem import não utilizado (vulture),ProcessRequest:16 não usado,Baixo - pode ser dinâmico
app/gates_f23.py,PRESERVAR,Gates F2.3,Design System essencial,Nenhum
app/guards/admin_guard.py,PRESERVAR,Admin guard,Segurança administrativa,Nenhum
app/llm/__init__.py,PRESERVAR,Inicializa LLM clients,Crítico - importa openai,CRÍTICO - openai é ativo
app/llm/client.py,PRESERVAR,Abstract LLM client,Interface de LLM,Nenhum
app/llm/fake_client.py,PRESERVAR,Fake LLM client,Testing e desenvolvimento,Nenhum
app/llm/openai_client.py,PRESERVAR,OpenAI client,Rota /execute depende,CRÍTICO - mantenha
app/llm/policy.py,PRESERVAR,LLM policy,Governança de LLM,Nenhum
app/main.py,VERIFICAR,Tem 3 imports não utilizados (vulture),"require_beta_api_key:24, ProcessRequest:36, ProcessResponse:36",Baixo - revisar em contexto
app/middleware_trace.py,PRESERVAR,Middleware de trace,Observabilidade essencial,Nenhum
app/models/session.py,PRESERVAR,Session model,Modelo de dados crítico,Nenhum
app/payload_limits.py,PRESERVAR,Limits de payload,Segurança essencial,Nenhum
app/rate_limiter.py,PRESERVAR,Rate limiter,Proteção contra DoS,Nenhum
app/schemas.py,PRESERVAR,Schemas Pydantic,Validação essencial,Nenhum
app/session_store.py,PRESERVAR,Session store,Persistência crítica,Nenhum
app/tools/__init__.py,PRESERVAR,Inicializa tools,Utilities,Nenhum
app/tools/audit_parser.py,PRESERVAR,Audit parser,Parsing de auditoria,Nenhum
app/tools/orphan_reconciler.py,PRESERVAR,Orphan reconciler,Manutenção de dados,Nenhum
app/tools/reconcile_cli.py,PRESERVAR,Reconcile CLI,Interface de CLI,Nenhum
tests/*,PRESERVAR,59 test files,Cobertura de testes,Nenhum
tests/test_llm_executor_hardening.py,VERIFICAR,Test skipped (@skip),Reativar ou justificar,Médio - afeta coverage
tests/test_router_describe.py,VERIFICAR,Test skipped (@skip),Reativar ou justificar,Médio - afeta coverage
scripts/*,PRESERVAR,Scripts utilitários,1 script em escopo,Nenhum
db/migrations/001_create_sessions.sql,PRESERVAR,Migration crítica,Estrutura de sessions,CRÍTICO - NUNCA DELETAR
db/migrations/002_add_audit_log.sql,PRESERVAR,Migration crítica,Estrutura de audit,CRÍTICO - NUNCA DELETAR
db/migrations/003_refactor_policies.sql,PRESERVAR,Migration crítica,Estrutura de policies,CRÍTICO - NUNCA DELETAR
docs/*,PRESERVAR,18 markdown files,Documentação,Nenhum
requirements.txt,PRESERVAR,Dependencies,Crítico para ambiente,Nenhum
README.md,PRESERVAR,Documentação principal,Referência essencial,Nenhum
.gitignore,PRESERVAR,Git ignore,Segurança essencial,Nenhum
.env*,PRESERVAR,Environment vars,Segurança crítica,Nenhum
pytest.ini,PRESERVAR,Pytest config,Testes essenciais,Nenhum
